,Dokumen1,Dokumen2,Dokumen3,Dokumen4,Dokumen5
dgd,0.0,0.0,0.0,0.022832554184237384,0.0
diam,0.0249575686087148,0.0,0.0,0.0,0.0
die,0.0,0.0,0.0,0.011416277092118692,0.0
diei,0.0,0.0,0.0,0.005708138546059346,0.0
dies,0.0,0.0,0.0,0.005708138546059346,0.0
dikuburkana,0.0,0.0,0.0,0.005708138546059346,0.0
dingin,0.0,0.0,0.0,0.011416277092118692,0.0
dionysius,0.0,0.0,0.0,0.005708138546059346,0.0
dll,0.0,0.0,0.0,0.005708138546059346,0.0
doa,0.028121317625538985,0.11278054929481719,0.0,0.009647597064899939,0.024359748872083104
dolorosa,0.0,0.0,0.0,0.028540692730296732,0.0
domba,0.0,0.01615077285559461,0.0,0.06447406332636857,0.0
dominica,0.0,0.0,0.0,0.005708138546059346,0.0
dosa,0.0,0.0,0.025942850477381423,0.0038228069100964034,0.07239311692588153
dosamembersihkan,0.0,0.02001846666101936,0.0,0.0,0.0
duduk,0.04027121841576109,0.0,0.0,0.004605290237597755,0.0
duga,0.020135609207880545,0.0,0.0,0.004605290237597755,0.0
duka,0.0,0.0,0.0,0.005708138546059346,0.0
dunia,0.0,0.04021980128746703,0.0,0.0038228069100964034,0.02895724677035261
durandus,0.0,0.0,0.0,0.005708138546059346,0.0
duri,0.0249575686087148,0.0,0.0,0.0,0.0
dusta,0.0249575686087148,0.0,0.0,0.0,0.0
easter,0.0,0.0,0.0,0.022832554184237384,0.0
easterosterberg,0.0,0.0,0.0,0.005708138546059346,0.0
ecclesiastica,0.0,0.0,0.0,0.005708138546059346,0.0
ecclesiastical,0.0,0.0,0.0,0.011416277092118692,0.0
edda,0.0,0.0,0.0,0.005708138546059346,0.0
eja,0.0,0.0,0.0,0.011416277092118692,0.0
ekaristi,0.0,0.06460309142237844,0.0,0.013815870712793265,0.0
ekonomi,0.0,0.0,0.0,0.005708138546059346,0.0
ekor,0.0,0.0,0.0,0.005708138546059346,0.0
