,Dokumen1,Dokumen2,Dokumen3,Dokumen4,Dokumen5
another,0.009246491583822127,0.0,0.005360292348595044,0.033503220449410016,0.006811118919143182
answer,0.0,0.0,0.009514480497267648,0.0,0.0
anthropomorphic,0.008206228142153835,0.0,0.0,0.0,0.0
antichrist,0.0,0.0,0.0,0.014866994038353155,0.0
anticipation,0.0,0.008762780606167246,0.0,0.01199459717993677,0.0
antiphon,0.0,0.0,0.012743916952065542,0.009956599175647897,0.008096604458426028
antiquity,0.008206228142153835,0.0,0.0,0.0,0.0
apart,0.0,0.0,0.0,0.014866994038353155,0.0
apodosis,0.01641245628430767,0.0,0.0,0.0,0.0
apostle,0.01986219958342691,0.0,0.0,0.0,0.009753883559120054
apostolic,0.0,0.014547798954963841,0.006371958476032771,0.009956599175647897,0.0
apotropaic,0.0,0.0,0.0,0.0,0.012089687260759943
apparently,0.006620733194475637,0.008762780606167246,0.0,0.0,0.0
appeal,0.0,0.010861240696702735,0.0,0.0,0.0
appear,0.01641245628430767,0.0,0.0,0.0,0.0
applicable,0.0,0.010861240696702735,0.0,0.0,0.0
application,0.0,0.010861240696702735,0.0,0.0,0.0
applied,0.01641245628430767,0.0,0.0,0.0,0.0
apply,0.0,0.0,0.009514480497267648,0.0,0.0
approaching,0.0,0.0,0.0,0.014866994038353155,0.0
appropriate,0.0,0.010861240696702735,0.0,0.0,0.0
appropriateness,0.0,0.010861240696702735,0.0,0.0,0.0
approval,0.008206228142153835,0.0,0.0,0.0,0.0
approximately,0.0,0.02172248139340547,0.0,0.0,0.0
ar,0.0,0.0,0.009514480497267648,0.0,0.0
archbishop,0.0,0.017525561212334492,0.0,0.0,0.009753883559120054
area,0.006620733194475637,0.0,0.0,0.02398919435987354,0.0
arise,0.0,0.0,0.02854344149180294,0.0,0.0
arisen,0.0,0.0,0.0,0.0,0.012089687260759943
arms,0.0,0.0,0.0,0.0,0.012089687260759943
aromatic,0.0,0.0,0.0,0.014866994038353155,0.0
arose,0.013241466388951274,0.0,0.0,0.01199459717993677,0.0
around,0.018492983167644254,0.0,0.032161754091570266,0.041879025561762526,0.020433356757429546
arrangement,0.0,0.0,0.009514480497267648,0.0,0.0
arrest,0.0,0.0,0.015352445914309582,0.0,0.009753883559120054
arrival,0.0,0.0,0.0,0.0,0.024179374521519886
art,0.0,0.0,0.007676222957154791,0.0,0.009753883559120054
article,0.023461870074234455,0.005175439386946434,0.02266850467959958,0.02125260695169454,0.011521601513572281
artificial,0.0,0.0,0.0,0.0,0.012089687260759943
artist,0.008206228142153835,0.0,0.0,0.0,0.0
artistically,0.0,0.0,0.009514480497267648,0.0,0.0
ascension,0.013241466388951274,0.0,0.0,0.01199459717993677,0.0
ash,0.004623245791911063,0.07342840263680708,0.005360292348595044,0.0,0.020433356757429546
ashes,0.0,0.0,0.0,0.0,0.012089687260759943
ask,0.0,0.0,0.009514480497267648,0.0,0.0
assembly,0.0,0.0,0.02854344149180294,0.0,0.0
associate,0.008206228142153835,0.0,0.0,0.0,0.0
associated,0.016487419880151816,0.0,0.01911587542809831,0.0,0.008096604458426028
assortment,0.0,0.0,0.009514480497267648,0.0,0.0
assumption,0.0,0.02172248139340547,0.0,0.0,0.0
astronomical,0.08206228142153836,0.0,0.0,0.0,0.0
atmosphere,0.0,0.0,0.0,0.014866994038353155,0.0
atmospheric,0.0,0.0,0.009514480497267648,0.0,0.0
atop,0.0,0.0,0.009514480497267648,0.0,0.0
attempt,0.0,0.010861240696702735,0.0,0.0,0.0
attend,0.0,0.0,0.015352445914309582,0.0,0.009753883559120054
attendance,0.0,0.0,0.0,0.014866994038353155,0.0
attest,0.0,0.0,0.009514480497267648,0.0,0.0
attic,0.0,0.0,0.009514480497267648,0.0,0.0
attribute,0.0,0.0,0.0,0.0,0.012089687260759943
august,0.0,0.010861240696702735,0.0,0.0,0.0
authority,0.0,0.010861240696702735,0.0,0.0,0.0
authorized,0.0,0.0,0.009514480497267648,0.0,0.0
autocephalous,0.0,0.0,0.0,0.014866994038353155,0.0
automatically,0.0,0.010861240696702735,0.0,0.0,0.0
autonomous,0.0,0.010861240696702735,0.0,0.0,0.0
available,0.006620733194475637,0.0,0.0,0.0,0.02926165067736016
ave,0.0,0.0,0.0,0.014866994038353155,0.0
avoid,0.0,0.0,0.0,0.0,0.012089687260759943
avoidance,0.0,0.010861240696702735,0.0,0.0,0.0
award,0.008206228142153835,0.0,0.0,0.0,0.0
away,0.0,0.0,0.0,0.0,0.012089687260759943
bach,0.0,0.0,0.009514480497267648,0.0,0.0
back,0.0,0.0,0.030704891828619164,0.02398919435987354,0.0
background,0.008206228142153835,0.0,0.0,0.0,0.0
balsam,0.0,0.0,0.0,0.02973398807670631,0.0
ban,0.0,0.0,0.019028960994535295,0.0,0.0
bank,0.01986219958342691,0.0,0.007676222957154791,0.0,0.0
banner,0.0,0.0,0.0,0.0,0.012089687260759943
baptism,0.0,0.0,0.015352445914309582,0.03598379153981031,0.0
baptismal,0.0,0.0,0.0,0.014866994038353155,0.0
bare,0.0,0.0,0.023028668871464375,0.02398919435987354,0.0
base,0.008206228142153835,0.0,0.0,0.0,0.0
based,0.027479033133586364,0.007273899477481921,0.044603709332229395,0.0,0.0
bases,0.0,0.010861240696702735,0.0,0.0,0.0
basil,0.0,0.007273899477481921,0.006371958476032771,0.009956599175647897,0.0
basilica,0.0,0.0,0.0,0.014866994038353155,0.0
basis,0.013869737375733188,0.006119033553067257,0.005360292348595044,0.0,0.006811118919143182
basket,0.010991613253434545,0.0,0.0,0.009956599175647897,0.008096604458426028
batch,0.008206228142153835,0.0,0.0,0.0,0.0
beard,0.0,0.0,0.0,0.014866994038353155,0.0
bearing,0.0,0.0,0.009514480497267648,0.0,0.0
beauty,0.0,0.0,0.009514480497267648,0.0,0.0
beaver,0.0,0.02172248139340547,0.0,0.0,0.0
become,0.0054958066267172725,0.02182169843244576,0.006371958476032771,0.0,0.0
becoming,0.0,0.0,0.0,0.0,0.012089687260759943
beforehand,0.0,0.0,0.0,0.0,0.012089687260759943
beg,0.0,0.0,0.0,0.02973398807670631,0.0
begin,0.013241466388951274,0.0,0.0,0.0,0.009753883559120054
